Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
5D3,05E8,5D3,0000,000,0000,000,0000,0000,004,0100
5D3,05E8,5D4,05E8,5D3,05E8,000,05D3,0000,004,0100
5D4,0000,5D5,0000,5D4,0000,000,05D4,0000,004,0100
5D5,0000,5D6,0000,5D5,0000,000,05D5,0000,004,0100
5D6,0000,5D7,0000,5D6,0000,000,05D6,0000,004,0100
5D7,AF40,5D8,AF40,5D7,0040,000,0040,0040,000,0000
5D8,0680,5D9,0680,5D8,0680,000,05D8,4000,000,0000
5D9,0500,5DA,0500,5D9,4000,000,05D9,8000,00A,1010
5DA,EEFB,5DB,EEFB,5D6,8000,000,FFFB,8000,00A,1010,5D6,8000
5DB,AF08,5DC,AF08,5DB,0008,000,0008,0008,000,0000
5DC,EEF8,5DD,EEF8,5D5,0008,000,FFF8,0008,000,0000,5D5,0008
5DD,AEF5,5DE,AEF5,5D3,05E8,000,FFF5,05E8,000,0000
5DE,EEF5,5DF,EEF5,5D4,05E8,000,FFF5,05E8,000,0000,5D4,05E8
5DF,AAF4,5E0,AAF4,5E8,FFF9,000,FFF4,FFF9,008,1000,5D4,05E9
5E0,F204,5E5,F204,5E0,F204,000,0004,FFF9,008,1000
5E5,8EEF,5E6,8EEF,5D5,0007,000,0006,FFF9,008,1000,5D5,0007
5E6,CEF8,5DF,CEF8,5E6,05DF,000,FFF8,FFF9,008,1000
5DF,AAF4,5E0,AAF4,5E9,0004,000,FFF4,0004,000,0000,5D4,05EA
5E0,F204,5E1,F204,5E0,F204,000,05E0,0004,000,0000
5E1,F003,5E2,F003,5E1,F003,000,05E1,0004,000,0000
5E2,7EF3,5E3,7EF3,5D6,8000,000,FFF3,0004,00A,1010
5E3,F801,5E4,F801,5E3,F801,000,05E3,0004,00A,1010
5E4,EEF1,5E5,EEF1,5D6,0004,000,FFF1,0004,00A,1010,5D6,0004
5E5,8EEF,5E6,8EEF,5D5,0006,000,0005,0004,00A,1010,5D5,0006
5E6,CEF8,5DF,CEF8,5E6,05DF,000,FFF8,0004,00A,1010
5DF,AAF4,5E0,AAF4,5EA,FC26,000,FFF4,FC26,008,1000,5D4,05EB
5E0,F204,5E5,F204,5E0,F204,000,0004,FC26,008,1000
5E5,8EEF,5E6,8EEF,5D5,0005,000,0004,FC26,008,1000,5D5,0005
5E6,CEF8,5DF,CEF8,5E6,05DF,000,FFF8,FC26,008,1000
5DF,AAF4,5E0,AAF4,5EB,0007,000,FFF4,0007,000,0000,5D4,05EC
5E0,F204,5E1,F204,5E0,F204,000,05E0,0007,000,0000
5E1,F003,5E2,F003,5E1,F003,000,05E1,0007,000,0000
5E2,7EF3,5E3,7EF3,5D6,0004,000,FFF3,0007,001,0001
5E3,F801,5E4,F801,5E3,F801,000,05E3,0007,001,0001
5E4,EEF1,5E5,EEF1,5D6,0007,000,FFF1,0007,001,0001,5D6,0007
5E5,8EEF,5E6,8EEF,5D5,0004,000,0003,0007,001,0001,5D5,0004
5E6,CEF8,5DF,CEF8,5E6,05DF,000,FFF8,0007,001,0001
5DF,AAF4,5E0,AAF4,5EC,0000,000,FFF4,0000,005,0101,5D4,05ED
5E0,F204,5E1,F204,5E0,F204,000,05E0,0000,005,0101
5E1,F003,5E5,F003,5E1,F003,000,0003,0000,005,0101
5E5,8EEF,5E6,8EEF,5D5,0003,000,0002,0000,005,0101,5D5,0003
5E6,CEF8,5DF,CEF8,5E6,05DF,000,FFF8,0000,005,0101
5DF,AAF4,5E0,AAF4,5ED,0003,000,FFF4,0003,001,0001,5D4,05EE
5E0,F204,5E1,F204,5E0,F204,000,05E0,0003,001,0001
5E1,F003,5E2,F003,5E1,F003,000,05E1,0003,001,0001
5E2,7EF3,5E3,7EF3,5D6,0007,000,FFF3,0003,008,1000
5E3,F801,5E5,F801,5E3,F801,000,0001,0003,008,1000
5E5,8EEF,5E6,8EEF,5D5,0002,000,0001,0003,008,1000,5D5,0002
5E6,CEF8,5DF,CEF8,5E6,05DF,000,FFF8,0003,008,1000
5DF,AAF4,5E0,AAF4,5EE,0006,000,FFF4,0006,000,0000,5D4,05EF
5E0,F204,5E1,F204,5E0,F204,000,05E0,0006,000,0000
5E1,F003,5E2,F003,5E1,F003,000,05E1,0006,000,0000
5E2,7EF3,5E3,7EF3,5D6,0007,000,FFF3,0006,008,1000
5E3,F801,5E5,F801,5E3,F801,000,0001,0006,008,1000
5E5,8EEF,5E6,8EEF,5D5,0001,000,0000,0006,008,1000,5D5,0001
5E6,CEF8,5DF,CEF8,5E6,05DF,000,FFF8,0006,008,1000
5DF,AAF4,5E0,AAF4,5EF,FAA7,000,FFF4,FAA7,008,1000,5D4,05F0
5E0,F204,5E5,F204,5E0,F204,000,0004,FAA7,008,1000
5E5,8EEF,5E7,8EEF,5D5,0000,000,FFFF,FAA7,008,1000,5D5,0000
5E7,0100,5E8,0100,5E7,0100,000,05E7,FAA7,008,1000
